club;Squad;ø age;Foreigners;ø market value;Total market value
Bayern Munich;29;26. Feb;14;€8.14m;€235.95m
Hamburger SV;38;25. Feb;26;€4.13m;€156.88m
SV Werder Bremen;35;24. Feb;17;€4.27m;€149.45m
VfL Wolfsburg;35;25. Mai;24;€3.95m;€138.33m
Bayer 04 Leverkusen;31;25. Jan;15;€3.87m;€120.10m
VfB Stuttgart;34;25.0;13;€3.50m;€119.05m
FC Schalke 04;34;24. Sep;19;€3.47m;€118.05m
Borussia Dortmund;39;25. Apr;22;€2.71m;€105.83m
Hertha BSC;31;24. Sep;21;€2.87m;€89.10m
TSG 1899 Hoffenheim;34;23. Jul;14;€2.34m;€79.65m
Hannover 96;35;26.0;17;€1.84m;€64.38m
Eintracht Frankfurt;34;25.0;20;€1.86m;€63.35m
1. FC Köln;32;26. Mrz;20;€1.54m;€49.30m
Borussia Mönchengladbach;36;26. Apr;18;€1.36m;€49.00m
VfL Bochum;34;27. Mrz;17;€1.22m;€41.45m
Karlsruher SC;27;26. Aug;10;€1.14m;€30.90m
Arminia Bielefeld;30;26. Mai;13;€987Th.;€29.60m
FC Energie Cottbus;35;27. Mai;22;€844Th.;€29.53m
