club;League as atSep 15, 2013;Value Sep 15, 2013;Squad size Sep 15, 2013;Current value;Current squad size;Difference;%
;;€1.62bn;493;€3.99bn  ;509;€2.37bn;145.6 %
Bayern Munich;Bundesliga;€483.65m;26;€769.50m;26;€285.85m;59.1 %
Borussia Dortmund;Bundesliga;€288.05m;26;€538.65m;34;€250.60m;87.0 %
RB Leipzig;3. Liga;€6.48m;25;€449.20m;25;€442.73m;6837.5 %
Bayer 04 Leverkusen;Bundesliga;€133.10m;25;€434.05m;27;€300.95m;226.1 %
Eintracht Frankfurt;Bundesliga;€82.65m;30;€224.00m;32;€141.35m;171.0 %
VfL Wolfsburg;Bundesliga;€108.40m;23;€222.70m;28;€114.30m;105.4 %
Borussia Mönchengladbach;Bundesliga;€94.73m;26;€204.20m;26;€109.48m;115.6 %
TSG 1899 Hoffenheim;Bundesliga;€67.50m;35;€200.70m;30;€133.20m;197.3 %
VfB Stuttgart;Bundesliga;€89.40m;28;€165.30m;31;€75.90m;84.9 %
SC Freiburg;Bundesliga;€68.88m;28;€158.45m;27;€89.58m;130.1 %
1.FSV Mainz 05;Bundesliga;€39.85m;25;€123.10m;25;€83.25m;208.9 %
1. FC Köln;2. Bundesliga;€24.10m;27;€94.08m;28;€69.98m;290.4 %
FC Augsburg;Bundesliga;€37.10m;30;€93.70m;28;€56.60m;152.6 %
Hertha BSC;Bundesliga;€40.60m;27;€90.55m;31;€49.95m;123.0 %
1.FC Union Berlin;2. Bundesliga;€16.18m;26;€82.10m;28;€65.93m;407.6 %
Arminia Bielefeld;2. Bundesliga;€9.95m;29;€57.15m;25;€47.20m;474.4 %
VfL Bochum;2. Bundesliga;€12.70m;30;€51.00m;30;€38.30m;301.6 %
SpVgg Greuther Fürth;2. Bundesliga;€21.28m;27;€32.10m;28;€10.83m;50.9 %
SV Werder Bremen;Bundesliga;€58.30m;27;€42.30m;27;€-16.00m;-27.4 %
Hamburger SV;Bundesliga;€90.30m;29;€37.30m;26;€-53.00m;-58.7 %
FC Schalke 04;Bundesliga;€181.80m;27;€35.40m;27;€-146.40m;-80.5 %
1.FC Nuremberg;Bundesliga;€50.05m;29;€26.68m;28;€-23.38m;-46.7 %
FC St. Pauli;2. Bundesliga;€15.20m;25;€25.00m;30;€9.80m;64.5 %
Fortuna Düsseldorf;2. Bundesliga;€25.75m;30;€23.85m;30;€-1.90m;-7.4 %
Hannover 96;Bundesliga;€73.58m;30;€20.23m;26;€-53.35m;-72.5 %
SV Darmstadt 98;3. Liga;€4.38m;23;€19.15m;27;€14.78m;337.7 %
SC Paderborn 07;2. Bundesliga;€12.40m;28;€17.70m;30;€5.30m;42.7 %
1.FC Heidenheim 1846;3. Liga;€7.03m;27;€17.45m;26;€10.43m;148.4 %
Karlsruher SC;2. Bundesliga;€10.28m;32;€16.55m;28;€6.28m;61.1 %
SSV Jahn Regensburg;3. Liga;€4.83m;23;€16.20m;26;€11.38m;235.8 %
Holstein Kiel;3. Liga;€3.70m;26;€16.00m;29;€12.30m;332.4 %
SV Sandhausen;2. Bundesliga;€9.75m;29;€13.35m;27;€3.60m;36.9 %
FC Hansa Rostock;3. Liga;€4.90m;23;€13.20m;31;€8.30m;169.4 %
SG Dynamo Dresden;2. Bundesliga;€13.40m;27;€12.95m;29;€-450Th.;-3.4 %
FC Ingolstadt 04;2. Bundesliga;€14.53m;26;€12.00m;34;€-2.53m;-17.4 %
FC Erzgebirge Aue;2. Bundesliga;€11.15m;26;€9.83m;32;€-1.33m;-11.9 %
Eintracht Braunschweig;Bundesliga;€28.58m;33;;;;
